place_name,latitude,longitude,rating,review_text
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Love their strawberry matcha cloud!! The area can easily be accessed. Love the ambiance as well very cozy and customer service is great! Will definitely be back here again and again 💖 …"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Highly recommended! Been here before and I can say this is best matcha spot in town. Their banana pudding is delicious, and I also loved their vanilla sea salt. The place is really nice and it sets the matcha mood. They have a lot of sockets too! The staff are friendly and welcoming. Will come back again!"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Tried the Double Matcha Kurimu and it was really good! Not too sweet compared to the Earl Grey Hojicha. They use oat milk for all their drinks which is great for those with lactose intolerance. …"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Their matcha is so good!! And I love the cute corner by the mirror."
"Matcha Ureshi Bar",7.0573666,125.56099,4,"Been here a few times. The matcha and hojicha are great, flavorful, and made in front of you. The place is small so don’t linger too long inside or bring a large group. The area can accommodate 10people max considering spacing."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"One of the best matcha spots I've tried. I tried their Vanilla Sea Salt Matcha, it tastes umami, and I get a hint of nuttiness."
"Matcha Ureshi Bar",7.0573666,125.56099,3,"We tried the matcha with gelato on top in their store. Rating it low because we expected so much for the gelato as it had a different taste before sa pop-ups. We tried several times sa pop-ups nila even in davcon, it tasted different mas better pa yung sa davcon. Hopefully we can have it better."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"The staff was super nice and explained their different drinks thoroughly. I really loved their drinks. Very worth it."
"Matcha Ureshi Bar",7.0573666,125.56099,4,"they have their physical cafe now. place was great and tehy maximize it. tried vol 3 and removed the agave which tasted very bold."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Came for the matcha, stayed for the service. The drinks were great, but the real standout was the staff. Warm, attentive, and genuinely welcoming!"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"my 2nd time here and they make really good matcha!! definitely would recommend to others. place also has a good atmosphere :)"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Cozy place with good variety of matcha. Bold and creamy! 😋 …"
"Matcha Ureshi Bar",7.0573666,125.56099,4,"💯! I really liked their matcha. Smooth, creamy, and umami flavor with just the right balance of sweetness and richness. Comforting to drink. …"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Ordered the Earl Grey Matcha, and it definitely didn’t disappoint. The umami depth and subtle nuttiness were beautifully emphasized, while its smooth creaminess elevated the drink into a well-balanced and indulgent experience. Definitely must try!"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Shop attendant was super sweet and warm, explained all the different options available :) …"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Love the place. Peaceful vibes. Price is good. Worth going back to."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"love the experience. matcha also tastes good. theres a 10 peso discount when you make a review too! 😉 …"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Place is clean and cozy, staff are super nice! Drinks are well made too, will come visit again!"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Place is cozy and good for hang out. I like the little room beside the counter. Matcha was good, Will surely buy again."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"It was nice, very cute and matcha is soo good!"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"10/10😉 I’m usually picky with matcha, but the Vanilla Sea Salt blend here changed my mind. It’s super smooth and the sea salt adds such a nice depth to the vanilla. Definitely my new favorite order at Matcha Ureshi Bar! …"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Oat matcha latte vol. 2 is sooo good! Grabe ka cozyy ang vibe dri, go visit them!"
"Matcha Ureshi Bar",7.0573666,125.56099,4,"Discovered Matcha Ureshi on one of the fleas in Thee Yards! I like their double matcha kurimu, but a bit too sweet to my preference. Dapat gipa less ko ang sweetener haha but still good. …"
"Matcha Ureshi Bar",7.0573666,125.56099,3,"So little space to dine with ease. The Hojicha drink was just ok. Staff are friendly though."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"cozy ambience, good matcha, and very friendly staff"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Grabe ka chill sa place! Matcha? 100% the best! Service? Grabe ka swabe. If you are planning to try matcha, go here!"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"One of the best matcha in town"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Enjoyed the matcha lattes here :) nice ambience and friendly staff who shared about the different matcha powders available. Thank you for the hospitality!"
"Matcha Ureshi Bar",7.0573666,125.56099,4,"Small shop. Has lots of matcha choices."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"I ordered the vol 2, The matcha drink has a smooth, creamy texture with a rich, earthy flavor and a slight bitterness balanced by sweetness."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Cozy place with good variety of matcha. Bold and creamy! 😋"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"Love the place. Peaceful vibes. Price is good. Worth going back to."
"Matcha Ureshi Bar",7.0573666,125.56099,5,"It was nice, very cute and matcha is soo good!"
"Matcha Ureshi Bar",7.0573666,125.56099,5,"One of the best matcha in town"
"Matcha Ureshi Bar",7.0573666,125.56099,4,"Small shop. Has lots of matcha choices."
